label,text
spam,Subject: FREE! Get your free iPhone now! Click here to claim your prize!!!
ham,Subject: Meeting scheduled for tomorrow at 2 PM in conference room A
spam,Subject: You've won $1000000! Send your bank details to claim now
ham,Subject: Project update - please review the attached document
spam,Subject: Lose 50 pounds in 1 week with this miracle pill!!!
ham,Subject: Reminder: Company holiday party this Friday at 6 PM
spam,Subject: URGENT: Your account will be closed unless you verify now
ham,Subject: Thanks for the great presentation yesterday
spam,Subject: Make money from home! No experience needed! $5000/week guaranteed
ham,Subject: Please find attached the Q3 financial report
spam,Subject: Hot singles in your area want to meet you NOW
ham,Subject: Team lunch on Thursday - please RSVP
spam,Subject: Click here to download your FREE software package
ham,Subject: Your subscription renewal is coming up next month
spam,Subject: CONGRATULATIONS! You are our lucky winner today
ham,Subject: Can we reschedule our 3 PM meeting to 4 PM?
spam,Subject: Buy cheap medications online - no prescription required
ham,Subject: Great job on completing the project ahead of schedule
spam,Subject: Earn $10000 per month working part-time from home
ham,Subject: Attached are the meeting notes from yesterday's discussion
